Run_Date,Date_Tunnel,Date_Surface,Total_Veh_Tunnel,Total_Veh_M30,Avg_Speed_Tunnel,Avg_Speed_Surface
2019-03-13T14:37:26Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:37:53Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:37:59Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:38:05Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:38:40Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:38:49Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:38:55Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:39:02Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:39:08Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:39:14Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:39:20Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
2019-03-13T14:39:26Z,2019-03-13T14:36:00Z,2019-03-13T14:22:46Z,1747,9289,62.06,70.21
