Run_Date,Avg_Total_Veh_Tunnel,Avg_Total_Veh_M30,Avg_Speed_Tunnel,Avg_Speed_Surface
2019-03-13T14:45:09Z,1747,9289,62.06,70.21
2019-03-13T14:45:29Z,1747,9289,62.06,70.21
2019-03-13T14:45:34Z,1747,9289,62.06,70.21
2019-03-14T09:12:18Z,1747,9289,62.06,70.21
2019-03-14T09:16:14Z,1334.5,7952,61.7875,70.07499999999999
2019-03-14T10:12:22Z,1276.75,6580.5,62.53,75.1725
2019-03-14T10:12:57Z,1276.75,6580.5,62.53,75.1725
2019-03-14T10:13:25Z,1276.75,6580.5,62.53,75.1725
2019-03-14T10:15:38Z,1249.8,6516.6,62.542,75.21
2019-03-14T10:16:33Z,1231.8333333333333,6474,62.550000000000004,75.235
